"tank","ph","date","S","alk","pco2"
2,7.63841845173034,"05-08-20",31.1,0.00206197990598701,1023.88829338837
3,7.67879022667599,"05-08-20",30.9,0.00207103545077624,932.962916207496
6,7.6379982924292,"05-08-20",31.1,0.00205107661763314,1019.45207660338
8,7.62880241349835,"05-08-20",30.9,0.00209886552252064,1068.44896957402
9,7.79383014336687,"05-08-20",30.6,0.00206630890989319,702.05071054692
10,7.89748802271959,"05-08-20",31.2,0.00205467180933251,535.614018903385
11,7.92609873937302,"05-08-20",31,0.00200576246419133,486.601901328618
2,7.66779271246121,"06-08-20",30.6,0.00206197990598701,956.015404437616
3,7.64627995811924,"06-08-20",31.1,0.00207103545077624,1008.90232370055
6,7.62610290170238,"06-08-20",31.4,0.00205107661763314,1047.55425679875
8,7.62251465850762,"06-08-20",31.1,0.00209886552252064,1083.60446823706
9,7.64997161749194,"06-08-20",30.9,0.00206630890989319,998.777711956658
10,7.62741239703425,"06-08-20",31.6,0.00205467180933251,1044.8444905979
11,7.62250139508069,"06-08-20",31.5,0.00200576246419133,1032.54880705381
2,7.49224395693947,"09-08-20",30.7,0.00206197990598701,1461.5919893758
3,7.71995033929118,"09-08-20",31.1,0.00207103545077624,842.138189312475
8,7.52124824470547,"09-08-20",30.7,0.00209886552252064,1387.77830350802
9,7.74170983781638,"09-08-20",31,0.00206630890989319,796.772540542805
10,7.52611476061596,"09-08-20",30.9,0.00205467180933251,1340.88979819755
11,7.8438195063062,"09-08-20",31.6,0.00200576246419133,596.84353046947
2,7.44717922051306,"10-08-20",30.3,0.00206197990598701,1632.02369475948
3,7.74546303302711,"10-08-20",30.7,0.00207103545077624,792.834148637475
8,7.47693206926541,"10-08-20",30.7,0.00209886552252064,1543.6267637264
9,7.75308521358059,"10-08-20",31.3,0.00206630890989319,773.137684036228
10,7.47649393698506,"10-08-20",30.7,0.00205467180933251,1512.44340286189
11,7.69375960365792,"10-08-20",31,0.00200576246419133,870.043423117135
3,7.77077702835166,"11-08-20",30.45,0.00207103545077624,745.953016495247
8,7.46807315685792,"11-08-20",30.5,0.00209886552252064,1578.57839997228
9,7.77116999814454,"11-08-20",30.8,0.00206630890989319,741.699095151009
10,7.43647817412388,"11-08-20",30.9,0.00205467180933251,1662.56270301713
11,7.68217234925274,"11-08-20",30.9,0.00200576246419133,895.713549014204
3,7.79721822124614,"12-08-20",30.8375,0.00207103545077624,696.611452466448
8,7.49340983130748,"12-08-20",30.75,0.00209886552252064,1483.37491508806
9,7.8326015947301,"12-08-20",31,0.00206630890989319,635.437844797474
10,7.49189124445681,"12-08-20",31.025,0.00205467180933251,1454.87554345393
11,7.79020674448703,"12-08-20",31.25,0.00200576246419133,684.239084521909
3,7.75200967939633,"20-08-20",31.6,0.00207103545077624,775.510238838871
6,7.48356129485891,"20-08-20",31.9,0.00205107661763314,1474.62778510318
8,7.52057314641893,"20-08-20",31.9,0.00209886552252064,1380.72198073246
9,7.76789521303285,"20-08-20",31.2,0.00206630890989319,745.744648068508
10,7.61627621491689,"20-08-20",32.6,0.00205467180933251,1067.67896688244
11,7.73904235365459,"20-08-20",33,0.00200576246419133,768.781355293605
